V100_11	-114.39412	29.39467
V100_09	-114.40412	29.40467
V100_08	-114.41412	29.41467
V16_09	-114.2182222	29.30202778
V16_03	-114.1882222	29.27202778
V16_10	-114.2182222	29.30202778
V16_05	-114.1982222	29.28202778
V16_02	-114.1982222	29.28202778
V16_01	-114.1682222	29.25202778
V15_03	-114.1696944	29.13758333
V15_01	-114.1896944	29.15758333
V15_07	-114.1496944	29.11758333
V15_02	-114.1496944	29.11758333
V15_10	-114.1896944	29.15758333
V15_08	-114.1796944	29.14758333
V26_05	-114.0585278	29.10869444
V26_01	-114.0085278	29.05869444
V26_03	-114.0485278	29.09869444
V26_04	-114.0585278	29.10869444
V26_02	-114.0385278	29.08869444
V105_01	-114.17524	28.88702
V105_02	-114.12524	28.83702
V105_05	-114.16524	28.87702
V105_10	-114.14524	28.85702
V105_12	-114.17524	28.88702
V105_06	-114.12524	28.83702
V105_04	-114.15524	28.86702
V105_11	-114.17524	28.88702
V105_03	-114.17524	28.88702
V105_13	-114.12524	28.83702
V104_12	-114.08167	28.70867
V104_05	-114.03167	28.65867
V104_04	-114.07167	28.69867
V104_02	-114.03167	28.65867
V103_01	-114.00003	28.41771
V103_15	-114.02003	28.43771
V103_12	-114.01003	28.42771
V103_03	-114.03003	28.44771
V103_04	-114.04003	28.45771
V103_07	-114.03003	28.44771
V103_11	-114.01003	28.42771
V103_10	-114.02003	28.43771
V103_09	-114.01003	28.42771
V14_03	-114.0106667	28.21819444
V14_12	-114.0406667	28.24819444
V14_10	-114.0206667	28.22819444
V14_07	-114.0006667	28.20819444
V14_04	-114.0406667	28.24819444
V14_14	-114.0506667	28.25819444
V14_01	-114.0006667	28.20819444
V14_15	-114.0106667	28.21819444
V14_02	-114.0206667	28.22819444
V14_08	-114.0506667	28.25819444
V14_09	-114.0506667	28.25819444
V01_06	-113.4170833	27.76669444
V01_03	-113.3870833	27.73669444
V01_02r	-113.3970833	27.74669444
V01_07	-113.4270833	27.77669444
V01_08	-113.4170833	27.76669444
V01_10	-113.4270833	27.77669444
V01_01	-113.4270833	27.77669444
V01_05	-113.4370833	27.78669444
V01_04	-113.4370833	27.78669444
V01_14	-113.4370833	27.78669444
V01_11	-113.3870833	27.73669444
V01_15	-113.4070833	27.75669444
V13_09	-112.7999444	27.31694444
V13_10	-112.8299444	27.34694444
V13_14	-112.8399444	27.35694444
V13_08	-112.8399444	27.35694444
V07_02	-113.1493611	27.33363889
V07_06	-113.1493611	27.33363889
V07_08	-113.1593611	27.34363889
V07_01	-113.1293611	27.31363889
V07_10	-113.1593611	27.34363889
V07_05	-113.1593611	27.34363889
V07_07	-113.1793611	27.36363889
V07_03	-113.1593611	27.34363889
V08_04	-113.1141389	27.34480556
V08_06	-113.0841389	27.31480556
V08_09	-113.0941389	27.32480556
V08_01	-113.0741389	27.30480556
V08_02	-113.1141389	27.34480556
V09_11	-113.0314722	27.3425
V09_10	-112.9814722	27.2925
V09_12	-113.0114722	27.3225
V09_03	-112.9814722	27.2925
V09_07	-113.0014722	27.3125
V04_10	-113.1971667	27.33052778
V04_13	-113.1871667	27.32052778
V04_15	-113.1571667	27.29052778
V04_12	-113.1671667	27.30052778
V04_09	-113.1771667	27.31052778
V04_14	-113.1871667	27.32052778
V04_04	-113.1771667	27.31052778
V04_06	-113.1871667	27.32052778
V04_02	-113.1871667	27.32052778
V04_01	-113.1871667	27.32052778
V04_05	-113.1571667	27.29052778
V06_01	-113.2503611	27.28591667
V06_08	-113.2403611	27.27591667
V06_03r	-113.2203611	27.25591667
V06_09	-113.2103611	27.24591667
V06_07	-113.2503611	27.28591667
V06_04	-113.2303611	27.26591667
V06_05	-113.2103611	27.24591667
V10_02	-112.9174167	27.28780556
V10_12	-112.9174167	27.28780556
V102_14	-112.89222	27.16399
V102_02	-112.91222	27.18399
V102_10	-112.92222	27.19399
V102_04	-112.91222	27.18399
V102_12	-112.90222	27.17399
V102_13	-112.90222	27.17399
V101_02	-112.98024	27.08119
V101_04	-113.00024	27.10119
V101_06	-113.01024	27.11119
V101_14	-113.00024	27.10119
V101_09	-112.99024	27.09119
V101_11	-113.00024	27.10119
V101_08	-113.00024	27.10119
V101_01	-112.98024	27.08119
V101_13	-113.01024	27.11119
V101_15	-112.97024	27.07119
V101_12	-112.99024	27.09119
V101_10	-112.96024	27.06119
V90_10	-112.209684	26.030366
V90_02	-112.209684	26.030366
V90_01	-112.209684	26.030366
V90_07	-112.199684	26.020366
V90_05	-112.209684	26.030366
V90_09	-112.229684	26.050366
V91_13	-112.140229	25.986442
V91_15	-112.110229	25.956442
V91_07	-112.100229	25.946442
V91_04	-112.130229	25.976442
V91_11	-112.140229	25.986442
V91_05	-112.090229	25.936442
V91_08	-112.110229	25.956442
V91_03	-112.140229	25.986442
V91_14	-112.100229	25.946442
V91_06	-112.140229	25.986442
V91_10	-112.130229	25.976442
V91_12	-112.090229	25.936442
V91_01	-112.100229	25.946442
V91_02	-112.130229	25.976442
V91_09	-112.100229	25.946442
